"","Month","Year","n"
"1",1,2015,129
"2",2,2015,105
"3",3,2015,152
"4",4,2015,145
"5",5,2015,129
"6",6,2015,153
"7",7,2015,192
"8",8,2015,150
"9",9,2015,178
"10",10,2015,147
"11",11,2015,124
"12",12,2015,114
"13",1,2016,135
"14",2,2016,135
"15",3,2016,143
"16",4,2016,133
"17",5,2016,129
"18",6,2016,177
"19",7,2016,190
"20",8,2016,200
"21",9,2016,189
"22",10,2016,186
"23",11,2016,134
"24",12,2016,118
"25",1,2017,118
"26",2,2017,134
"27",3,2017,145
"28",4,2017,146
"29",5,2017,156
"30",6,2017,202
"31",7,2017,208
"32",8,2017,180
"33",9,2017,131
"34",10,2017,161
"35",11,2017,133
"36",12,2017,148
"37",1,2018,141
"38",2,2018,118
"39",3,2018,152
"40",4,2018,165
"41",5,2018,182
"42",6,2018,202
"43",7,2018,204
"44",8,2018,205
"45",9,2018,149
"46",10,2018,178
"47",11,2018,158
"48",12,2018,115
"49",1,2019,153
"50",2,2019,154
"51",3,2019,165
"52",4,2019,169
"53",5,2019,154
"54",6,2019,153
"55",7,2019,197
