Month,Year,n
1,2015,129
2,2015,105
3,2015,152
4,2015,145
5,2015,129
6,2015,153
7,2015,192
8,2015,150
9,2015,178
10,2015,147
11,2015,124
12,2015,114
1,2016,135
2,2016,135
3,2016,143
4,2016,133
5,2016,129
6,2016,177
7,2016,190
8,2016,200
9,2016,189
10,2016,186
11,2016,134
12,2016,118
1,2017,118
2,2017,134
3,2017,145
4,2017,146
5,2017,156
6,2017,202
7,2017,208
8,2017,180
9,2017,131
10,2017,161
11,2017,133
12,2017,148
1,2018,141
2,2018,118
3,2018,152
4,2018,165
5,2018,182
6,2018,202
7,2018,204
8,2018,205
9,2018,149
10,2018,178
11,2018,158
12,2018,115
